location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
"Aiken, SC",South Carolina,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.01, 100.0)",<1,3.0,'female div/dep/mar',none,,car,,,rent,1.0,skilled,1.0,none,yes,bad,05/1994,yes
"Anderson, SC",South Carolina,"(-10000.0, -1000.0]","(36.0, 48.0]",'existing paid',business,"(2500.0, 5000.0]","[0.01, 100.0)",<1,3.0,'female div/dep/mar',none,4.0,'life insurance',"(20.0, 30.0]",none,rent,,skilled,,none,1,good,05/1994,1
"Anderson, SC",South Carolina,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",,1.0,'female div/dep/mar',none,1.0,car,"(20.0, 30.0]",none,own,1.0,skilled,1.0,yes,1,bad,05/1994,1
"Charleston, SC",South Carolina,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,,car,"(50.0, 60.0]",none,own,2.0,'unskilled resident',1.0,none,no,good,05/1994,no
"Charleston, SC",South Carolina,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,2.0,,none,4.0,car,,none,rent,,skilled,1.0,none,yes,good,05/1994,yes
"Chester, SC",South Carolina,"(-1000.0, -0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[100.0, 500.0)",,4.0,'female div/dep/mar',none,,car,"(30.0, 40.0]",none,own,1.0,'unskilled resident',1.0,none,1,good,05/1994,1
"Chester, SC",South Carolina,"(-0.01, 0.01]",,'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",,4.0,'male single',none,4.0,'life insurance',,none,own,2.0,skilled,1.0,none,yes,good,05/1994,yes
"Dillon, SC",South Carolina,"(-10000.0, -1000.0]","(24.0, 36.0]",'no credits/all paid',business,"(7500.0, 10000.0]","[0.0, 0.01)",<1,,'male single',none,3.0,car,"(20.0, 30.0]",bank,own,3.0,skilled,1.0,none,yes,bad,05/1994,yes
"Dillon, SC",South Carolina,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid','used car',,"[0.01, 100.0)",>=7,4.0,'female div/dep/mar',none,2.0,'no known property',,none,'for free',,'high qualif/self emp/mgmt',,yes,1,bad,05/1994,1
"Florence, SC",South Carolina,"(-0.01, 0.01]","(12.0, 24.0]",,radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,3.0,'male single',,2.0,car,"(30.0, 40.0]",none,own,1.0,skilled,,yes,yes,bad,05/1994,yes
"Greenville, SC",South Carolina,"(-0.01, 0.01]",,'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,4.0,car,"(40.0, 50.0]",none,own,3.0,skilled,1.0,yes,yes,good,05/1994,yes
"Greenwood, SC",South Carolina,"(-1000.0, -0.01]","(0.0, 12.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[500.0, 1000.0)",1<=X<4,2.0,'male single',none,3.0,'real estate',"(40.0, 50.0]",none,rent,1.0,skilled,2.0,none,yes,good,05/1994,yes
"Horry, SC",South Carolina,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.01, 100.0)",,1.0,'male single',,3.0,'real estate',"(40.0, 50.0]",none,rent,2.0,,2.0,none,1,bad,05/1994,1
"Jasper, SC",South Carolina,"(0.01, 1000.0]","(0.0, 12.0]",'critical/other existing credit','used car',"(1000.0, 2500.0]","[100.0, 500.0)",<1,3.0,'male single',none,4.0,,"(40.0, 50.0]",none,own,1.0,skilled,1.0,,1,good,05/1994,1
"Lexington, SC",South Carolina,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,2.0,'male mar/wid',none,1.0,car,"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,yes,bad,05/1994,yes
"Orangeburg, SC",South Carolina,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',furniture/equipment,,"[0.0, 0.01)",1<=X<4,1.0,'male single',none,,'real estate',"(30.0, 40.0]",bank,own,1.0,'unskilled resident',1.0,yes,no,good,06/1994,no
"Richland, SC",South Carolina,"(-0.01, 0.01]","(0.0, 12.0]",'no credits/all paid',radio/tv,"(200.0, 500.0]","[0.0, 0.01)",,,'male mar/wid',none,4.0,car,"(30.0, 40.0]",none,own,1.0,'unskilled resident',1.0,none,no,good,06/1994,no
"Richland, SC",South Carolina,"(1000.0, 10000.0]","(0.0, 12.0]",'all paid',radio/tv,"(200.0, 500.0]","[2500.0, 5000.0)",1<=X<4,3.0,'female div/dep/mar',none,,'real estate',"(40.0, 50.0]",none,rent,2.0,,,none,no,good,06/1994,no
"Spartanburg, SC",South Carolina,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,,'male single',guarantor,2.0,'real estate',"(30.0, 40.0]",none,own,,,1.0,none,no,good,06/1994,no
"Spartanburg, SC",South Carolina,"(-10000.0, -1000.0]","(48.0, 60.0]",'delayed previously',business,"(5000.0, 7500.0]","[0.01, 100.0)",>=7,,'male single',none,4.0,'no known property',"(60.0, 70.0]",,own,2.0,skilled,1.0,yes,yes,good,06/1994,yes
"Union, SC",South Carolina,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',business,"(1000.0, 2500.0]","[0.0, 0.01)",,3.0,'male mar/wid',,3.0,'real estate',"(30.0, 40.0]",bank,own,1.0,skilled,1.0,yes,no,good,06/1994,no
"Williamsburg, SC",South Carolina,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",,2.0,'male single',none,2.0,car,"(20.0, 30.0]",stores,own,1.0,skilled,1.0,none,1,good,06/1994,1
"York, SC",South Carolina,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid','new car',"(5000.0, 7500.0]","[100.0, 500.0)",1<=X<4,2.0,'male single',none,2.0,car,,none,own,2.0,skilled,1.0,yes,no,bad,06/1994,no
"Minnehaha, SD",South Dakota,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',business,"(1000.0, 2500.0]","[0.0, 0.01)",,4.0,'male single',none,4.0,,"(50.0, 60.0]",none,rent,1.0,'unskilled resident',1.0,,yes,bad,06/1994,yes
"Hughes, SD",South Dakota,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',furniture/equipment,,"[0.01, 100.0)",<1,4.0,'female div/dep/mar',none,1.0,'life insurance',"(30.0, 40.0]",bank,,1.0,'high qualif/self emp/mgmt',1.0,,yes,good,06/1994,yes
"Bradley, TN",Tennessee,"(0.01, 1000.0]","(36.0, 48.0]",'critical/other existing credit',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",<1,4.0,'male single',none,2.0,'life insurance',"(20.0, 30.0]",none,own,2.0,,1.0,none,no,good,06/1994,no
"Bradley, TN",Tennessee,"(-0.01, 0.01]","(36.0, 48.0]",'critical/other existing credit',education,"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,1.0,'male single',none,3.0,'no known property',"(30.0, 40.0]",bank,'for free',1.0,skilled,1.0,,yes,good,06/1994,yes
"Davidson, TN",Tennessee,"(1000.0, 10000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",,4.0,'male single','co applicant',2.0,'real estate',"(30.0, 40.0]",stores,own,1.0,skilled,1.0,none,yes,bad,06/1994,yes
"Fentress, TN",Tennessee,"(1000.0, 10000.0]","(0.0, 12.0]",'existing paid','domestic appliance',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,2.0,'male single',none,,car,"(30.0, 40.0]",none,own,1.0,skilled,1.0,yes,yes,good,06/1994,yes
"Hamilton, TN",Tennessee,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(200.0, 500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,3.0,'real estate',"(20.0, 30.0]",none,own,,skilled,1.0,none,no,good,06/1994,no
"Haywood, TN",Tennessee,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",,4.0,'male single',none,2.0,car,"(20.0, 30.0]",bank,own,,'high qualif/self emp/mgmt',,none,no,good,06/1994,no
"Knox, TN",Tennessee,"(0.01, 1000.0]",,'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,3.0,'male div/sep',none,1.0,car,"(20.0, 30.0]",none,own,,skilled,1.0,yes,no,bad,06/1994,no
"McNairy, TN",Tennessee,"(0.01, 1000.0]","(12.0, 24.0]",'delayed previously',repairs,"(5000.0, 7500.0]","[0.01, 100.0)",1<=X<4,2.0,'male single',none,4.0,'real estate',"(40.0, 50.0]",none,own,1.0,'unskilled resident',2.0,,yes,good,06/1994,yes
"Madison, TN",Tennessee,"(-1000.0, -0.01]","(24.0, 36.0]",,'used car',"(5000.0, 7500.0]","[100.0, 500.0)",4<=X<7,1.0,'male mar/wid',none,,car,"(20.0, 30.0]",none,rent,2.0,skilled,1.0,none,yes,bad,06/1994,yes
"Robertson, TN",Tennessee,"(-10000.0, -1000.0]","(36.0, 48.0]",'critical/other existing credit','used car',"(5000.0, 7500.0]","[0.01, 100.0)",>=7,4.0,'female div/dep/mar',none,4.0,'no known property',"(50.0, 60.0]",stores,'for free',2.0,'unskilled resident',1.0,none,yes,bad,06/1994,yes
"Sevier, TN",Tennessee,"(-0.01, 0.01]","(0.0, 12.0]",,'new car',"(1000.0, 2500.0]","[0.0, 0.01)",<1,4.0,'female div/dep/mar',none,4.0,car,"(30.0, 40.0]",none,own,2.0,'high qualif/self emp/mgmt',1.0,none,no,good,06/1994,no
"Shelby, TN",Tennessee,"(-0.01, 0.01]","(24.0, 36.0]",,radio/tv,,"[0.0, 0.01)",>=7,4.0,'male single',none,4.0,car,"(30.0, 40.0]",none,own,1.0,skilled,1.0,none,1,good,06/1994,1
"Shelby, TN",Tennessee,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid','used car',,"[0.0, 0.01)",unemployed,1.0,'female div/dep/mar',none,2.0,,"(20.0, 30.0]",none,rent,1.0,'unemp/unskilled non res',1.0,yes,yes,bad,06/1994,yes
"Bastrop, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit','new car',"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,1.0,'male single',none,4.0,'life insurance',"(30.0, 40.0]",none,,2.0,'unskilled resident',1.0,none,no,good,06/1994,no
"Bell, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",,radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",,4.0,'female div/dep/mar','co applicant',2.0,'real estate',"(20.0, 30.0]",none,own,1.0,skilled,,none,no,good,06/1994,no
"Bexar, TX",Texas,"(0.01, 1000.0]","(12.0, 24.0]",'delayed previously',furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",<1,4.0,'male single',none,2.0,,"(20.0, 30.0]",bank,own,1.0,'unskilled resident',1.0,none,yes,good,06/1994,yes
"Bexar, TX",Texas,"(0.01, 1000.0]","(24.0, 36.0]",,'used car',"(5000.0, 7500.0]","[0.01, 100.0)",>=7,1.0,'male single',none,2.0,car,"(20.0, 30.0]",none,own,,'high qualif/self emp/mgmt',1.0,yes,no,bad,06/1994,no
"Brown, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,3.0,'male single',none,2.0,car,"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,no,good,06/1994,no
"Cass, TX",Texas,"(-0.01, 0.01]",,'existing paid','used car',"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,2.0,'male single',none,1.0,,"(30.0, 40.0]",none,own,1.0,skilled,,yes,no,good,06/1994,no
"Collin, TX",Texas,"(0.01, 1000.0]","(24.0, 36.0]",'delayed previously','new car',"(1000.0, 2500.0]","[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'no known property',"(50.0, 60.0]",bank,'for free',2.0,skilled,1.0,,yes,good,06/1994,yes
"Dallas, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'all paid','new car',"(500.0, 1000.0]","[0.0, 0.01)",,1.0,'male single',guarantor,2.0,'real estate',"(20.0, 30.0]",,own,1.0,'unskilled resident',2.0,none,1,good,07/1994,1
"Dallas, TX",Texas,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(5000.0, 7500.0]","[0.0, 0.01)",unemployed,2.0,,none,1.0,'no known property',"(50.0, 60.0]",none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,07/1994,no
"Fort Worth, TX",Texas,"(-0.01, 0.01]","(24.0, 36.0]",'critical/other existing credit',radio/tv,"(7500.0, 10000.0]","[0.0, 0.01)",1<=X<4,2.0,'female div/dep/mar',,2.0,car,"(30.0, 40.0]",,own,2.0,,1.0,none,no,bad,07/1994,no
"Dallas, TX",Texas,"(1000.0, 10000.0]","(12.0, 24.0]",,'new car',"(1000.0, 2500.0]","[0.01, 100.0)",,3.0,'female div/dep/mar',none,2.0,car,"(20.0, 30.0]",none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,good,07/1994,yes
"Houston, TX",Texas,"(-10000.0, -1000.0]","(24.0, 36.0]",'critical/other existing credit',furniture/equipment,"(5000.0, 7500.0]","[0.01, 100.0)",<1,,'female div/dep/mar','co applicant',4.0,'no known property',"(20.0, 30.0]",none,rent,2.0,'unskilled resident',1.0,,yes,good,07/1994,yes
"Denton, TX",Texas,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',business,"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,2.0,'male mar/wid',,1.0,'real estate',,bank,own,1.0,skilled,1.0,yes,1,good,07/1994,1
"El Paso, TX",Texas,"(0.01, 1000.0]","(12.0, 24.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",>=7,4.0,'male single',guarantor,4.0,'real estate',"(40.0, 50.0]",none,own,2.0,skilled,1.0,yes,yes,bad,07/1994,yes
"El Paso, TX",Texas,"(0.01, 1000.0]","(24.0, 36.0]",'no credits/all paid',business,"(1000.0, 2500.0]","[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'no known property',"(60.0, 70.0]",none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,07/1994,no
"Galveston, TX",Texas,"(0.01, 1000.0]","(36.0, 48.0]",'no credits/all paid',business,"(12500.0, 15000.0]","[0.01, 100.0)",1<=X<4,2.0,'male single',none,2.0,car,"(20.0, 30.0]",none,own,1.0,skilled,,yes,no,good,07/1994,no
"Gregg, TX",Texas,"(-0.01, 0.01]",,'existing paid',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",<1,,'female div/dep/mar',none,,'life insurance',"(20.0, 30.0]",none,own,1.0,skilled,,yes,no,good,07/1994,no
"Harris, TX",Texas,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid',repairs,"(5000.0, 7500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'life insurance',"(40.0, 50.0]",none,own,4.0,skilled,2.0,yes,yes,bad,07/1994,yes
"Harrison, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",,2.0,'female div/dep/mar',,2.0,car,"(20.0, 30.0]",bank,own,1.0,skilled,1.0,none,no,bad,07/1994,no
"Hidalgo, TX",Texas,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male mar/wid',,1.0,'real estate',,none,own,1.0,skilled,1.0,none,yes,bad,07/1994,yes
"Hidalgo, TX",Texas,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid',,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,4.0,'no known property',,stores,'for free',,,1.0,yes,yes,good,07/1994,yes
"Hopkins, TX",Texas,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',none,4.0,car,"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,yes,bad,07/1994,yes
"Hunt, TX",Texas,"(-0.01, 0.01]",,'existing paid','used car',"(7500.0, 10000.0]","[0.0, 0.01)",,,'female div/dep/mar',none,2.0,'life insurance',"(20.0, 30.0]",,own,1.0,skilled,1.0,,no,bad,07/1994,no
"Hunt, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',radio/tv,"(500.0, 1000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,2.0,'life insurance',,none,rent,2.0,'unskilled resident',1.0,yes,no,good,07/1994,no
"Jasper, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',other,"(1000.0, 2500.0]","[0.0, 0.01)",>=7,3.0,'male single',none,,'no known property',"(50.0, 60.0]",bank,'for free',2.0,'high qualif/self emp/mgmt',2.0,yes,yes,good,07/1994,yes
"Jefferson, TX",Texas,"(-0.01, 0.01]","(36.0, 48.0]",,business,"(5000.0, 7500.0]","[0.0, 0.01)",4<=X<7,2.0,'female div/dep/mar',none,1.0,'real estate',"(40.0, 50.0]",bank,own,2.0,'unskilled resident',1.0,none,yes,bad,07/1994,yes
"McLennan, TX",Texas,"(-1000.0, -0.01]","(24.0, 36.0]",'existing paid',education,"(1000.0, 2500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'no known property',"(30.0, 40.0]",none,,,'high qualif/self emp/mgmt',1.0,yes,yes,bad,07/1994,yes
"Medina, TX",Texas,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit','used car',"(1000.0, 2500.0]","[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'no known property',"(60.0, 70.0]",none,'for free',2.0,'high qualif/self emp/mgmt',1.0,none,no,good,07/1994,no
"Midland, TX",Texas,"(-0.01, 0.01]","(36.0, 48.0]",'existing paid',,,"[0.0, 0.01)",<1,,'male single',none,,car,"(30.0, 40.0]",none,,1.0,skilled,1.0,none,yes,bad,07/1994,yes
"Montague, TX",Texas,"(0.01, 1000.0]","(0.0, 12.0]",'delayed previously',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",4<=X<7,2.0,'male single',none,4.0,'life insurance',"(50.0, 60.0]",none,own,1.0,skilled,1.0,none,yes,bad,07/1994,yes
"Nueces, TX",Texas,"(-0.01, 0.01]","(48.0, 60.0]",'no credits/all paid',,"(7500.0, 10000.0]","[0.0, 0.01)",1<=X<4,2.0,'male single',none,2.0,'life insurance',"(30.0, 40.0]",none,own,1.0,'unskilled resident',,none,yes,good,07/1994,yes
"Potter, TX",Texas,"(0.01, 1000.0]","(24.0, 36.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",<1,,'male mar/wid',,1.0,'life insurance',"(20.0, 30.0]",none,own,1.0,,1.0,,yes,good,07/1994,yes
"Sabine, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,,"[0.0, 0.01)",<1,1.0,'female div/dep/mar',none,,car,"(40.0, 50.0]",,own,2.0,skilled,1.0,yes,no,good,07/1994,no
"Tarrant, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",,4.0,'male single',none,3.0,'life insurance',"(40.0, 50.0]",stores,,1.0,skilled,1.0,yes,yes,good,07/1994,yes
"Tarrant, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',business,,"[0.0, 0.01)",1<=X<4,3.0,'female div/dep/mar',none,4.0,'life insurance',"(20.0, 30.0]",none,rent,1.0,'unskilled resident',1.0,none,no,bad,07/1994,no
"Taylor, TX",Texas,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',other,"(1000.0, 2500.0]","[0.01, 100.0)",>=7,,'female div/dep/mar',guarantor,4.0,'real estate',"(50.0, 60.0]",none,own,1.0,,1.0,,yes,good,07/1994,yes
"Travis, TX",Texas,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",>=7,3.0,'male single',,4.0,'real estate',"(50.0, 60.0]",none,own,1.0,'unskilled resident',1.0,none,no,good,07/1994,no
"Wharton, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',business,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,,'female div/dep/mar',guarantor,2.0,'real estate',"(20.0, 30.0]",none,own,2.0,'high qualif/self emp/mgmt',1.0,,yes,good,07/1994,yes
"Williamson, TX",Texas,"(0.01, 1000.0]","(12.0, 24.0]",'critical/other existing credit',,"(1000.0, 2500.0]","[0.0, 0.01)",,4.0,'female div/dep/mar',none,1.0,,"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,yes,good,08/1994,yes
"Williamson, TX",Texas,"(0.01, 1000.0]","(24.0, 36.0]",'existing paid',education,"(12500.0, 15000.0]","[100.0, 500.0)",,,'male single',none,4.0,'no known property',"(40.0, 50.0]",none,'for free',1.0,skilled,2.0,yes,no,good,08/1994,no
"Wood, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,4.0,'male single',none,3.0,,"(20.0, 30.0]",none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,no,good,08/1994,no
"Dallas, TX",Texas,"(-10000.0, -1000.0]","(0.0, 12.0]",'no credits/all paid',repairs,"(1000.0, 2500.0]","[0.01, 100.0)",4<=X<7,4.0,'male single',none,3.0,'real estate',"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,no,good,08/1994,no
"Harris, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',radio/tv,"(500.0, 1000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,,"(50.0, 60.0]",none,own,1.0,skilled,1.0,none,no,bad,08/1994,no
"Bexar, TX",Texas,"(-1000.0, -0.01]","(0.0, 12.0]",,'used car',"(1000.0, 2500.0]","[0.01, 100.0)",>=7,4.0,'male single',none,3.0,'real estate',,none,own,1.0,skilled,1.0,none,no,good,08/1994,no
"Salt Lake, UT",Utah,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',radio/tv,"(500.0, 1000.0]","[0.0, 0.01)",>=7,4.0,'female div/dep/mar',none,3.0,'life insurance',"(30.0, 40.0]",bank,own,1.0,'unskilled resident',2.0,none,yes,good,08/1994,yes
"Salt Lake, UT",Utah,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,4.0,'male single',,4.0,'no known property',"(10.0, 20.0]",none,rent,2.0,skilled,1.0,none,yes,bad,08/1994,yes
"Accomack, VA",Virginia,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[5000.0, 7500.0)",>=7,4.0,'male single',none,4.0,'real estate',"(50.0, 60.0]",none,own,1.0,skilled,1.0,yes,no,bad,08/1994,no
"Buckingham, VA",Virginia,"(0.01, 1000.0]","(48.0, 60.0]",'no credits/all paid',business,,"[0.01, 100.0)",<1,3.0,'male single',none,4.0,'no known property',"(50.0, 60.0]",none,,1.0,skilled,1.0,yes,yes,good,08/1994,yes
"Buckingham, VA",Virginia,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',education,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,4.0,'female div/dep/mar',none,2.0,car,"(60.0, 70.0]",none,own,1.0,skilled,1.0,none,no,good,08/1994,no
"Culpeper, VA",Virginia,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',business,"(2500.0, 5000.0]","[100.0, 500.0)",1<=X<4,4.0,'male single',none,4.0,car,"(30.0, 40.0]",none,own,1.0,skilled,1.0,none,yes,good,08/1994,yes
