location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
"Greenville, SC",South Carolina,0.5065834960220637,,'critical/other existing credit','new car',,0.0,1<=X<4,,'male single',none,1.0,car,0.5178571428571429,none,own,0.6666666666666666,skilled,0.0,yes,yes,good,05/1994,yes
"Greenwood, SC",South Carolina,0.4626659209147348,0.029411764705882353,'existing paid',radio/tv,,0.07983476158518747,1<=X<4,,'male single',none,0.6666666666666666,'real estate',0.44642857142857145,none,rent,0.0,skilled,1.0,none,yes,good,05/1994,yes
"Horry, SC",South Carolina,0.21547099974955333,0.08823529411764706,'critical/other existing credit','new car',,0.004429946827732177,,,'male single',,0.6666666666666666,'real estate',0.5178571428571429,none,rent,0.3333333333333333,,1.0,none,1,bad,05/1994,1
"Jasper, SC",South Carolina,0.5119002805713841,0.11764705882352941,'critical/other existing credit','used car',,0.0472086710374615,<1,,'male single',none,1.0,,0.44642857142857145,none,own,0.0,skilled,0.0,,1,good,05/1994,1
"Lexington, SC",South Carolina,0.5065834960220637,0.08823529411764706,'critical/other existing credit',,,0.0,1<=X<4,,'male mar/wid',none,0.0,car,0.125,none,own,0.3333333333333333,skilled,0.0,none,yes,bad,05/1994,yes
"Orangeburg, SC",South Carolina,0.5065834960220637,0.029411764705882353,'existing paid',furniture/equipment,,0.0,1<=X<4,,'male single',none,,'real estate',0.30357142857142855,bank,own,0.0,'unskilled resident',0.0,yes,no,good,06/1994,no
"Richland, SC",South Carolina,0.5065834960220637,0.029411764705882353,'no credits/all paid',radio/tv,,0.0,,,'male mar/wid',none,1.0,car,0.35714285714285715,none,own,0.0,'unskilled resident',0.0,none,no,good,06/1994,no
"Richland, SC",South Carolina,0.6375020764720853,0.11764705882352941,'all paid',radio/tv,,0.2795878288851032,1<=X<4,,'female div/dep/mar',none,,'real estate',0.4107142857142857,none,rent,0.3333333333333333,,,none,no,good,06/1994,no
"Spartanburg, SC",South Carolina,0.515957719726307,0.04411764705882353,'existing paid',radio/tv,,0.007231600502469327,1<=X<4,,'male single',guarantor,0.3333333333333333,'real estate',0.26785714285714285,none,own,,,0.0,none,no,good,06/1994,no
"Spartanburg, SC",South Carolina,0.3298484162677554,0.8235294117647058,'delayed previously',business,,0.0028876929430592126,>=7,,'male single',none,1.0,'no known property',0.7857142857142857,,own,0.3333333333333333,skilled,0.0,yes,yes,good,06/1994,yes
"Union, SC",South Carolina,0.5065834960220637,0.20588235294117646,'existing paid',business,,0.0,,,'male mar/wid',,0.6666666666666666,'real estate',0.30357142857142855,bank,own,0.0,skilled,0.0,yes,no,good,06/1994,no
"Williamsburg, SC",South Carolina,0.24892061551966665,0.29411764705882354,'existing paid',furniture/equipment,,0.0013486655309483248,,,'male single',none,0.3333333333333333,car,0.14285714285714285,stores,own,0.0,skilled,0.0,none,1,good,06/1994,1
"York, SC",South Carolina,0.5099348076666143,0.20588235294117646,'existing paid','new car',,0.02851341352193141,1<=X<4,,'male single',none,0.3333333333333333,car,,none,own,0.3333333333333333,skilled,0.0,yes,no,bad,06/1994,no
"Minnehaha, SD",South Dakota,0.5065834960220637,0.11764705882352941,'critical/other existing credit',business,,0.0,,,'male single',none,1.0,,0.6785714285714286,none,rent,0.0,'unskilled resident',0.0,,yes,bad,06/1994,yes
"Hughes, SD",South Dakota,0.5563014768225075,0.11764705882352941,'existing paid',furniture/equipment,,0.004446079190542564,<1,,'female div/dep/mar',none,0.0,'life insurance',0.25,bank,,0.0,'high qualif/self emp/mgmt',0.0,,yes,good,06/1994,yes
"Bradley, TN",Tennessee,0.5148639840933348,0.6029411764705882,'critical/other existing credit',radio/tv,,0.0,<1,,'male single',none,0.3333333333333333,'life insurance',0.10714285714285714,none,own,0.3333333333333333,,0.0,none,no,good,06/1994,no
"Bradley, TN",Tennessee,0.5065834960220637,0.6470588235294118,'critical/other existing credit',education,,0.0,1<=X<4,,'male single',none,0.6666666666666666,'no known property',0.21428571428571427,bank,'for free',0.0,skilled,0.0,,yes,good,06/1994,yes
"Davidson, TN",Tennessee,0.8609721292995671,0.20588235294117646,'existing paid',radio/tv,,0.0005044052105380897,,,'male single','co applicant',0.3333333333333333,'real estate',0.32142857142857145,stores,own,0.0,skilled,0.0,none,yes,bad,06/1994,yes
"Fentress, TN",Tennessee,0.7904924756779712,0.08823529411764706,'existing paid','domestic appliance',,0.0,1<=X<4,,'male single',none,,car,0.32142857142857145,none,own,0.0,skilled,0.0,yes,yes,good,06/1994,yes
"Hamilton, TN",Tennessee,0.5090097298274864,0.07352941176470588,'existing paid',radio/tv,,0.0,1<=X<4,,'male single',none,0.6666666666666666,'real estate',0.08928571428571429,none,own,,skilled,0.0,none,no,good,06/1994,no
"Haywood, TN",Tennessee,0.5065834960220637,0.38235294117647056,'existing paid',radio/tv,,0.0,,,'male single',none,0.3333333333333333,car,0.19642857142857142,bank,own,,'high qualif/self emp/mgmt',,none,no,good,06/1994,no
"Knox, TN",Tennessee,0.5142198332421463,,'existing paid',radio/tv,,0.0,1<=X<4,,'male div/sep',none,0.0,car,0.125,none,own,,skilled,0.0,yes,no,bad,06/1994,no
"McNairy, TN",Tennessee,0.5146577338996577,0.20588235294117646,'delayed previously',repairs,,0.0026252731746769227,1<=X<4,,'male single',none,1.0,'real estate',0.44642857142857145,none,own,0.0,'unskilled resident',1.0,,yes,good,06/1994,yes
"Madison, TN",Tennessee,0.46019904667706046,0.38235294117647056,,'used car',,0.02410175003871767,4<=X<7,,'male mar/wid',none,,car,0.08928571428571429,none,rent,0.3333333333333333,skilled,0.0,none,yes,bad,06/1994,yes
"Robertson, TN",Tennessee,0.06974253778163188,0.6470588235294118,'critical/other existing credit','used car',,0.0015250460310085522,>=7,,'female div/dep/mar',none,1.0,'no known property',0.6964285714285714,stores,'for free',0.3333333333333333,'unskilled resident',0.0,none,yes,bad,06/1994,yes
"Sevier, TN",Tennessee,0.5065834960220637,0.10294117647058823,,'new car',,0.0,<1,,'female div/dep/mar',none,1.0,car,0.2857142857142857,none,own,0.3333333333333333,'high qualif/self emp/mgmt',0.0,none,no,good,06/1994,no
"Shelby, TN",Tennessee,0.5065834960220637,0.47058823529411764,,radio/tv,,0.0,>=7,,'male single',none,1.0,car,0.35714285714285715,none,own,0.0,skilled,0.0,none,1,good,06/1994,1
"Shelby, TN",Tennessee,0.4236983504556554,0.029411764705882353,'existing paid','used car',,0.0,unemployed,,'female div/dep/mar',none,0.3333333333333333,,0.07142857142857142,none,rent,0.0,'unemp/unskilled non res',0.0,yes,yes,bad,06/1994,yes
"Bastrop, TX",Texas,0.5065834960220637,0.10294117647058823,'critical/other existing credit','new car',,0.0,1<=X<4,,'male single',none,1.0,'life insurance',0.35714285714285715,none,,0.3333333333333333,'unskilled resident',0.0,none,no,good,06/1994,no
"Bell, TX",Texas,0.5065834960220637,0.11764705882352941,,radio/tv,,0.0,,,'female div/dep/mar','co applicant',0.3333333333333333,'real estate',0.16071428571428573,none,own,0.0,skilled,,none,no,good,06/1994,no
"Bexar, TX",Texas,0.5150179097304879,0.29411764705882354,'delayed previously',furniture/equipment,,0.0,<1,,'male single',none,0.3333333333333333,,0.17857142857142858,bank,own,0.0,'unskilled resident',0.0,none,yes,good,06/1994,yes
"Bexar, TX",Texas,0.5157575655974677,0.3382352941176471,,'used car',,0.0045923459466900695,>=7,,'male single',none,0.3333333333333333,car,0.19642857142857142,none,own,,'high qualif/self emp/mgmt',0.0,yes,no,bad,06/1994,no
"Brown, TX",Texas,0.5065834960220637,0.11764705882352941,'existing paid',radio/tv,,0.0,1<=X<4,,'male single',none,0.3333333333333333,car,0.10714285714285714,none,own,0.0,skilled,0.0,none,no,good,06/1994,no
"Cass, TX",Texas,0.5065834960220637,,'existing paid','used car',,0.0,1<=X<4,,'male single',none,0.0,,0.21428571428571427,none,own,0.0,skilled,,yes,no,good,06/1994,no
"Collin, TX",Texas,0.5130534528365244,0.47058823529411764,'delayed previously','new car',,0.004474041952747234,>=7,,'male single',none,1.0,'no known property',0.6785714285714286,bank,'for free',0.3333333333333333,skilled,0.0,,yes,good,06/1994,yes
"Dallas, TX",Texas,0.5065834960220637,0.029411764705882353,'all paid','new car',,0.0,,,'male single',guarantor,0.3333333333333333,'real estate',0.125,,own,0.0,'unskilled resident',1.0,none,1,good,07/1994,1
"Dallas, TX",Texas,0.5123828857043723,0.11764705882352941,'existing paid',radio/tv,,0.0,unemployed,,,none,0.0,'no known property',0.5892857142857143,none,own,0.0,'high qualif/self emp/mgmt',0.0,yes,no,good,07/1994,no
"Fort Worth, TX",Texas,0.5065834960220637,0.47058823529411764,'critical/other existing credit',radio/tv,,0.0,1<=X<4,,'female div/dep/mar',,0.3333333333333333,car,0.21428571428571427,,own,0.3333333333333333,,0.0,none,no,bad,07/1994,no
"Dallas, TX",Texas,0.670946104182764,0.20588235294117646,,'new car',,0.007029408221912481,,,'female div/dep/mar',none,0.3333333333333333,car,0.07142857142857142,none,own,0.0,'high qualif/self emp/mgmt',0.0,none,yes,good,07/1994,yes
"Houston, TX",Texas,0.0,0.47058823529411764,'critical/other existing credit',furniture/equipment,,0.0038502572574122826,<1,,'female div/dep/mar','co applicant',1.0,'no known property',0.07142857142857142,none,rent,0.3333333333333333,'unskilled resident',0.0,,yes,good,07/1994,yes
"Denton, TX",Texas,0.5104158887833931,0.07352941176470588,'existing paid',business,,0.007004671932269888,1<=X<4,,'male mar/wid',,0.0,'real estate',,bank,own,0.0,skilled,0.0,yes,1,good,07/1994,1
"El Paso, TX",Texas,0.5146404617159508,0.16176470588235295,'critical/other existing credit',radio/tv,,0.0,>=7,,'male single',guarantor,1.0,'real estate',0.5535714285714286,none,own,0.3333333333333333,skilled,0.0,yes,yes,bad,07/1994,yes
"El Paso, TX",Texas,0.5149041165201833,0.47058823529411764,'no credits/all paid',business,,0.008424319859583914,>=7,,'male single',none,1.0,'no known property',0.75,none,'for free',0.0,'high qualif/self emp/mgmt',0.0,yes,no,good,07/1994,no
"Galveston, TX",Texas,0.5136869355742467,0.6470588235294118,'no credits/all paid',business,,0.0027521810954519643,1<=X<4,,'male single',none,0.3333333333333333,car,0.10714285714285714,none,own,0.0,skilled,,yes,no,good,07/1994,no
"Gregg, TX",Texas,0.5065834960220637,,'existing paid',radio/tv,,0.0,<1,,'female div/dep/mar',none,,'life insurance',0.125,none,own,0.0,skilled,,yes,no,good,07/1994,no
"Harris, TX",Texas,0.5065834960220637,0.3382352941176471,'existing paid',repairs,,0.0,>=7,,'male single',none,1.0,'life insurance',0.5178571428571429,none,own,1.0,skilled,1.0,yes,yes,bad,07/1994,yes
"Harrison, TX",Texas,0.5065834960220637,0.11764705882352941,'existing paid',radio/tv,,0.0,,,'female div/dep/mar',,0.3333333333333333,car,0.17857142857142858,bank,own,0.0,skilled,0.0,none,no,bad,07/1994,no
"Hidalgo, TX",Texas,0.5096046041545698,0.11764705882352941,'existing paid','new car',,0.0,1<=X<4,,'male mar/wid',,0.0,'real estate',,none,own,0.0,skilled,0.0,none,yes,bad,07/1994,yes
"Hidalgo, TX",Texas,0.5065834960220637,0.47058823529411764,'existing paid',,,0.0,1<=X<4,,'male single',none,1.0,'no known property',,stores,'for free',,,0.0,yes,yes,good,07/1994,yes
"Hopkins, TX",Texas,0.5065834960220637,0.47058823529411764,'existing paid',radio/tv,,0.0,1<=X<4,,'female div/dep/mar',none,1.0,car,0.10714285714285714,none,own,0.0,skilled,0.0,none,yes,bad,07/1994,yes
"Hunt, TX",Texas,0.5065834960220637,,'existing paid','used car',,0.0,,,'female div/dep/mar',none,0.3333333333333333,'life insurance',0.19642857142857142,,own,0.0,skilled,0.0,,no,bad,07/1994,no
"Hunt, TX",Texas,0.5065834960220637,0.04411764705882353,'critical/other existing credit',radio/tv,,0.0,>=7,,'male single',none,0.3333333333333333,'life insurance',,none,rent,0.3333333333333333,'unskilled resident',0.0,yes,no,good,07/1994,no
"Jasper, TX",Texas,0.5065834960220637,0.058823529411764705,'critical/other existing credit',other,,0.0,>=7,,'male single',none,,'no known property',0.5714285714285714,bank,'for free',0.3333333333333333,'high qualif/self emp/mgmt',1.0,yes,yes,good,07/1994,yes
"Jefferson, TX",Texas,0.5065834960220637,0.5588235294117647,,business,,0.0,4<=X<7,,'female div/dep/mar',none,0.0,'real estate',0.39285714285714285,bank,own,0.3333333333333333,'unskilled resident',0.0,none,yes,bad,07/1994,yes
"McLennan, TX",Texas,0.4953647046989991,0.47058823529411764,'existing paid',education,,0.0,>=7,,'male single',none,1.0,'no known property',0.375,none,,,'high qualif/self emp/mgmt',0.0,yes,yes,bad,07/1994,yes
"Medina, TX",Texas,0.19509541103479175,0.11764705882352941,'critical/other existing credit','used car',,0.005758178032454012,>=7,,'male single',none,1.0,'no known property',0.8392857142857143,none,'for free',0.3333333333333333,'high qualif/self emp/mgmt',0.0,none,no,good,07/1994,no
"Midland, TX",Texas,0.5065834960220637,0.5588235294117647,'existing paid',,,0.0,<1,,'male single',none,,car,0.26785714285714285,none,,0.0,skilled,0.0,none,yes,bad,07/1994,yes
"Montague, TX",Texas,0.5147222505858572,0.10294117647058823,'delayed previously',radio/tv,,0.0,4<=X<7,,'male single',none,1.0,'life insurance',0.5714285714285714,none,own,0.0,skilled,0.0,none,yes,bad,07/1994,yes
"Nueces, TX",Texas,0.5065834960220637,0.7352941176470589,'no credits/all paid',,,0.0,1<=X<4,,'male single',none,0.3333333333333333,'life insurance',0.35714285714285715,none,own,0.0,'unskilled resident',,none,yes,good,07/1994,yes
"Potter, TX",Texas,0.5147725431207686,0.38235294117647056,'existing paid',furniture/equipment,,0.0009346015521484005,<1,,'male mar/wid',,0.0,'life insurance',0.05357142857142857,none,own,0.0,,0.0,,yes,good,07/1994,yes
"Sabine, TX",Texas,0.5065834960220637,0.29411764705882354,'existing paid',radio/tv,,0.0,<1,,'female div/dep/mar',none,,car,0.44642857142857145,,own,0.3333333333333333,skilled,0.0,yes,no,good,07/1994,no
"Tarrant, TX",Texas,0.5065834960220637,0.16176470588235295,'existing paid',radio/tv,,0.0,,,'male single',none,0.6666666666666666,'life insurance',0.5,stores,,0.0,skilled,0.0,yes,yes,good,07/1994,yes
"Tarrant, TX",Texas,0.5065834960220637,0.20588235294117646,'existing paid',business,,0.0,1<=X<4,,'female div/dep/mar',none,1.0,'life insurance',0.08928571428571429,none,rent,0.0,'unskilled resident',0.0,none,no,bad,07/1994,no
"Taylor, TX",Texas,0.20795302778840355,0.29411764705882354,'existing paid',other,,0.01055701822311703,>=7,,'female div/dep/mar',guarantor,1.0,'real estate',0.6964285714285714,none,own,0.0,,0.0,,yes,good,07/1994,yes
"Travis, TX",Texas,0.4156703410697476,0.08823529411764706,'existing paid',radio/tv,,0.003524383528642473,>=7,,'male single',,1.0,'real estate',0.5892857142857143,none,own,0.0,'unskilled resident',0.0,none,no,good,07/1994,no
"Wharton, TX",Texas,0.5065834960220637,0.11764705882352941,'critical/other existing credit',business,,0.0,1<=X<4,,'female div/dep/mar',guarantor,0.3333333333333333,'real estate',0.17857142857142858,none,own,0.3333333333333333,'high qualif/self emp/mgmt',0.0,,yes,good,07/1994,yes
"Williamson, TX",Texas,0.5109391343486329,0.20588235294117646,'critical/other existing credit',,,0.0,,,'female div/dep/mar',none,0.0,,0.14285714285714285,none,own,0.3333333333333333,skilled,0.0,none,yes,good,08/1994,yes
"Williamson, TX",Texas,0.5136056547097434,0.47058823529411764,'existing paid',education,,0.04713231118682567,,,'male single',none,1.0,'no known property',0.5,none,'for free',0.0,skilled,1.0,yes,no,good,08/1994,no
"Wood, TX",Texas,0.5065834960220637,0.20588235294117646,'existing paid','new car',,0.0,4<=X<7,,'male single',none,0.6666666666666666,,0.19642857142857142,none,own,0.0,'high qualif/self emp/mgmt',1.0,yes,no,good,08/1994,no
"Dallas, TX",Texas,0.036974157257136576,0.11764705882352941,'no credits/all paid',repairs,,0.0006173317502107962,4<=X<7,,'male single',none,0.6666666666666666,'real estate',0.16071428571428573,none,own,0.3333333333333333,skilled,0.0,none,no,good,08/1994,no
"Harris, TX",Texas,0.5065834960220637,0.11764705882352941,'critical/other existing credit',radio/tv,,0.0,>=7,,'male single',none,1.0,,0.6607142857142857,none,own,0.0,skilled,0.0,none,no,bad,08/1994,no
"Bexar, TX",Texas,0.47217070200758654,0.11764705882352941,,'used car',,0.00017853148176827903,>=7,,'male single',none,0.6666666666666666,'real estate',,none,own,0.0,skilled,0.0,none,no,good,08/1994,no
"Salt Lake, UT",Utah,0.5065834960220637,0.11764705882352941,'critical/other existing credit',radio/tv,,0.0,>=7,,'female div/dep/mar',none,0.6666666666666666,'life insurance',0.25,bank,own,0.0,'unskilled resident',1.0,none,yes,good,08/1994,yes
"Salt Lake, UT",Utah,0.5065834960220637,0.29411764705882354,'critical/other existing credit',furniture/equipment,,0.0,>=7,,'male single',,1.0,'no known property',0.017857142857142856,none,rent,0.3333333333333333,skilled,0.0,none,yes,bad,08/1994,yes
"Accomack, VA",Virginia,0.5088969526279882,0.11764705882352941,'existing paid','new car',,0.6439512243387883,>=7,,'male single',none,1.0,'real estate',0.625,none,own,0.0,skilled,0.0,yes,no,bad,08/1994,no
"Buckingham, VA",Virginia,0.5148807482716385,0.7352941176470589,'no credits/all paid',business,,0.009636398052070965,<1,,'male single',none,1.0,'no known property',0.6964285714285714,none,,0.0,skilled,0.0,yes,yes,good,08/1994,yes
"Buckingham, VA",Virginia,0.5065834960220637,0.11764705882352941,'critical/other existing credit',education,,0.0,4<=X<7,,'female div/dep/mar',none,0.3333333333333333,car,0.75,none,own,0.0,skilled,0.0,none,no,good,08/1994,no
"Culpeper, VA",Virginia,0.5068049863778351,0.20588235294117646,'existing paid',business,,0.01797898060674892,1<=X<4,,'male single',none,1.0,car,0.26785714285714285,none,own,0.0,skilled,0.0,none,yes,good,08/1994,yes
"Essex, VA",Virginia,0.5066256604705247,0.47058823529411764,'critical/other existing credit',radio/tv,,0.003952428888544732,>=7,,'male single',none,1.0,'real estate',0.30357142857142855,none,own,0.0,skilled,,none,no,good,08/1994,no
"Frederick, VA",Virginia,0.5097539577430945,0.23529411764705882,'delayed previously','used car',,0.0,4<=X<7,,'male single',none,1.0,'life insurance',,bank,rent,0.3333333333333333,'high qualif/self emp/mgmt',1.0,yes,1,good,08/1994,1
"James City, VA",Virginia,0.5065834960220637,0.29411764705882354,'existing paid','new car',,0.0,>=7,,'male mar/wid',none,,'real estate',0.39285714285714285,none,rent,0.0,'unskilled resident',0.0,none,1,bad,08/1994,1
"Middlesex, VA",Virginia,0.5164509929727612,0.47058823529411764,'existing paid',radio/tv,,0.0,4<=X<7,,'male single',none,1.0,car,0.08928571428571429,none,rent,0.0,skilled,0.0,none,yes,bad,08/1994,yes
"Middlesex, VA",Virginia,0.5065834960220637,0.029411764705882353,,radio/tv,,0.0,1<=X<4,,'female div/dep/mar',none,,,0.08928571428571429,none,,0.0,skilled,0.0,none,yes,good,08/1994,yes
"Patrick, VA",Virginia,0.5102721232543029,0.07352941176470588,'critical/other existing credit',furniture/equipment,,0.0,4<=X<7,,'male single',,0.6666666666666666,car,0.2857142857142857,none,,0.0,,0.0,yes,yes,good,08/1994,yes
"Pittsylvania, VA",Virginia,0.5065834960220637,0.11764705882352941,'existing paid','used car',,0.0,<1,,'male mar/wid',none,1.0,car,0.125,none,rent,0.0,skilled,0.0,yes,no,good,08/1994,no
"Prince William, VA",Virginia,0.5142157691989212,,'critical/other existing credit',other,,0.0021671140708619412,1<=X<4,,'male single','co applicant',0.6666666666666666,car,0.35714285714285715,,own,0.3333333333333333,'high qualif/self emp/mgmt',1.0,yes,yes,bad,08/1994,yes
"Russell, VA",Virginia,0.5065834960220637,0.20588235294117646,'all paid','new car',,0.0,>=7,,'male single',none,1.0,'no known property',0.35714285714285715,bank,own,0.3333333333333333,'high qualif/self emp/mgmt',,yes,no,good,08/1994,no
"Tazewell, VA",Virginia,0.5131865502521484,0.11764705882352941,'existing paid','new car',,0.005414020959165764,4<=X<7,,'male single',none,0.3333333333333333,car,,none,,0.0,skilled,0.0,none,no,good,08/1994,no
,Virginia,,,,,,,,,,,,,,,,,,,,,,08/1994,
"Danville, VA",Virginia,0.4680909106149253,,'existing paid',furniture/equipment,,0.0,<1,,'female div/dep/mar',none,0.3333333333333333,'life insurance',0.19642857142857142,none,own,0.0,skilled,0.0,yes,no,good,08/1994,no
"Lynchburg, VA",Virginia,0.5094227382202436,,'existing paid',business,,0.05912510970006711,>=7,,'male mar/wid',,0.3333333333333333,'real estate',0.2857142857142857,none,own,0.0,skilled,0.0,yes,yes,good,08/1994,yes
"Newport News, VA",Virginia,0.5106653194363375,0.029411764705882353,'delayed previously',,,0.02858224493658906,>=7,,,none,0.3333333333333333,car,0.21428571428571427,bank,own,0.3333333333333333,skilled,,none,no,good,08/1994,no
"Norfolk, VA",Virginia,0.5065834960220637,,'existing paid',education,,0.0,<1,,'female div/dep/mar',none,,'life insurance',0.07142857142857142,none,,0.0,skilled,0.0,yes,yes,good,08/1994,yes
"Norfolk, VA",Virginia,0.5106836076308506,0.20588235294117646,'existing paid','new car',,0.0073369986061638534,4<=X<7,,'male single',none,0.6666666666666666,,0.16071428571428573,none,rent,0.0,'unskilled resident',0.0,none,no,bad,08/1994,no
"Portsmouth, VA",Virginia,0.5065834960220637,0.47058823529411764,'critical/other existing credit','new car',,0.0,1<=X<4,,'female div/dep/mar',none,0.3333333333333333,'real estate',0.10714285714285714,stores,own,,skilled,0.0,yes,yes,good,08/1994,yes
"Richmond, VA",Virginia,0.5065834960220637,0.11764705882352941,'existing paid',radio/tv,,0.0,>=7,,'male mar/wid',none,0.0,'real estate',0.2857142857142857,none,own,0.0,skilled,0.0,none,no,bad,08/1994,no
"Virginia Beach, VA",Virginia,0.5065834960220637,0.6470588235294118,,radio/tv,,0.0,>=7,,'male single',none,0.0,'real estate',0.5,none,own,0.0,skilled,0.0,yes,no,good,08/1994,no
"Orleans, VT",Vermont,0.10576012086464551,,'existing paid',radio/tv,,0.0,4<=X<7,,'female div/dep/mar',none,0.6666666666666666,car,0.19642857142857142,none,own,0.0,'high qualif/self emp/mgmt',0.0,yes,no,good,09/1994,no
"Orleans, VT",Vermont,0.49093083354034545,0.08823529411764706,'critical/other existing credit',furniture/equipment,,0.0,,,'female div/dep/mar','co applicant',0.6666666666666666,'real estate',,none,rent,0.3333333333333333,skilled,0.0,,no,good,09/1994,no
"Asotin, WA",Washington,0.19123304595467677,0.4264705882352941,'critical/other existing credit',furniture/equipment,,0.08357424328463511,,,'female div/dep/mar',none,1.0,car,0.07142857142857142,none,own,0.3333333333333333,skilled,0.0,,no,good,09/1994,no
