state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
Pennsylvania,'(-5000.0, -2500.0]','(0.0, 12.0]','critical/other existing credit',radio/tv,?,'[0.0, 0.01)',>=7,?,'male single',none,4,'real estate','(60.0, 70.0]',none,own,2,skilled,1,yes,no,bad,05/1994,no
Texas,'(-0.01, 0.01]',?,'existing paid','used car','(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,2,'male single',none,1,?,'(30.0, 40.0]',none,own,1,skilled,?,yes,no,good,06/1994,no
Texas,'(100.0, 500.0]','(24.0, 36.0]','delayed previously','new car','(1000.0, 2500.0]','[20.0, 50.0)',>=7,4,'male single',none,4,'no known property','(50.0, 60.0]',bank,'for free',2,skilled,1,?,yes,good,06/1994,yes
Texas,'(-0.01, 0.01]','(0.0, 12.0]','all paid','new car','(500.0, 1000.0]','[0.0, 0.01)',?,1,'male single',guarantor,2,'real estate','(20.0, 30.0]',?,own,1,'unskilled resident',2,none,yes,good,07/1994,yes
Texas,'(100.0, 500.0]','(0.0, 12.0]','existing paid',radio/tv,'(5000.0, 7500.0]','[0.0, 0.01)',unemployed,2,?,none,1,'no known property','(50.0, 60.0]',none,own,1,'high qualif/self emp/mgmt',1,yes,no,good,07/1994,no
Texas,'(-0.01, 0.01]','(24.0, 36.0]','critical/other existing credit',radio/tv,'(7500.0, 10000.0]','[0.0, 0.01)',1<=X<4,2,'female div/dep/mar',?,2,car,'(30.0, 40.0]',?,own,2,?,1,none,no,bad,07/1994,no
Texas,'(2500.0, 5000.0]','(12.0, 24.0]',?,'new car','(1000.0, 2500.0]','[50.0, 100.0)',?,3,'female div/dep/mar',none,2,car,'(20.0, 30.0]',none,own,1,'high qualif/self emp/mgmt',1,none,yes,good,07/1994,yes
Texas,'(-10000.0, -7500.0]','(24.0, 36.0]','critical/other existing credit',furniture/equipment,'(5000.0, 7500.0]','[20.0, 50.0)',<1,?,'female div/dep/mar','co applicant',4,'no known property','(20.0, 30.0]',none,rent,2,'unskilled resident',1,?,yes,good,07/1994,yes
Texas,'(50.0, 100.0]','(0.0, 12.0]','existing paid',business,'(1000.0, 2500.0]','[50.0, 100.0)',1<=X<4,2,'male mar/wid',?,1,'real estate',?,bank,own,1,skilled,1,yes,yes,good,07/1994,yes
Texas,'(100.0, 500.0]','(12.0, 24.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',guarantor,4,'real estate','(40.0, 50.0]',none,own,2,skilled,1,yes,yes,bad,07/1994,yes
Texas,'(100.0, 500.0]','(24.0, 36.0]','no credits/all paid',business,'(1000.0, 2500.0]','[50.0, 100.0)',>=7,4,'male single',none,4,'no known property','(60.0, 70.0]',none,'for free',1,'high qualif/self emp/mgmt',1,yes,no,good,07/1994,no
Texas,'(100.0, 500.0]','(36.0, 48.0]','no credits/all paid',business,'(12500.0, 15000.0]','[20.0, 50.0)',1<=X<4,2,'male single',none,2,car,'(20.0, 30.0]',none,own,1,skilled,?,yes,no,good,07/1994,no
Texas,'(-0.01, 0.01]',?,'existing paid',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',<1,?,'female div/dep/mar',none,?,'life insurance','(20.0, 30.0]',none,own,1,skilled,?,yes,no,good,07/1994,no
Texas,'(-0.01, 0.01]','(24.0, 36.0]','existing paid',repairs,'(5000.0, 7500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'life insurance','(40.0, 50.0]',none,own,4,skilled,2,yes,yes,bad,07/1994,yes
Texas,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',?,2,'female div/dep/mar',?,2,car,'(20.0, 30.0]',bank,own,1,skilled,1,none,no,bad,07/1994,no
Texas,'(50.0, 100.0]','(0.0, 12.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male mar/wid',?,1,'real estate',?,none,own,1,skilled,1,none,yes,bad,07/1994,yes
Texas,'(-0.01, 0.01]','(24.0, 36.0]','existing paid',?,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,4,'no known property',?,stores,'for free',?,?,1,yes,yes,good,07/1994,yes
Texas,'(-0.01, 0.01]','(24.0, 36.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,4,car,'(20.0, 30.0]',none,own,1,skilled,1,none,yes,bad,07/1994,yes
Texas,'(-0.01, 0.01]',?,'existing paid','used car','(7500.0, 10000.0]','[0.0, 0.01)',?,?,'female div/dep/mar',none,2,'life insurance','(20.0, 30.0]',?,own,1,skilled,1,?,no,bad,07/1994,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',>=7,4,'male single',none,2,'life insurance',?,none,rent,2,'unskilled resident',1,yes,no,good,07/1994,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',other,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,3,'male single',none,?,'no known property','(50.0, 60.0]',bank,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,good,07/1994,yes
Texas,'(-0.01, 0.01]','(36.0, 48.0]',?,business,'(5000.0, 7500.0]','[0.0, 0.01)',4<=X<7,2,'female div/dep/mar',none,1,'real estate','(40.0, 50.0]',bank,own,2,'unskilled resident',1,none,yes,bad,07/1994,yes
Texas,'(-500.0, -100.0]','(24.0, 36.0]','existing paid',education,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'no known property','(30.0, 40.0]',none,?,?,'high qualif/self emp/mgmt',1,yes,yes,bad,07/1994,yes
Texas,'(-7500.0, -5000.0]','(0.0, 12.0]','critical/other existing credit','used car','(1000.0, 2500.0]','[50.0, 100.0)',>=7,4,'male single',none,4,'no known property','(60.0, 70.0]',none,'for free',2,'high qualif/self emp/mgmt',1,none,no,good,07/1994,no
Texas,'(-0.01, 0.01]','(36.0, 48.0]','existing paid',?,?,'[0.0, 0.01)',<1,?,'male single',none,?,car,'(30.0, 40.0]',none,?,1,skilled,1,none,yes,bad,07/1994,yes
Texas,'(100.0, 500.0]','(0.0, 12.0]','delayed previously',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',4<=X<7,2,'male single',none,4,'life insurance','(50.0, 60.0]',none,own,1,skilled,1,none,yes,bad,07/1994,yes
Texas,'(-0.01, 0.01]','(48.0, 60.0]','no credits/all paid',?,'(7500.0, 10000.0]','[0.0, 0.01)',1<=X<4,2,'male single',none,2,'life insurance','(30.0, 40.0]',none,own,1,'unskilled resident',?,none,yes,good,07/1994,yes
Texas,'(100.0, 500.0]','(24.0, 36.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[0.01, 20.0)',<1,?,'male mar/wid',?,1,'life insurance','(20.0, 30.0]',none,own,1,?,1,?,yes,good,07/1994,yes
Texas,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,?,'[0.0, 0.01)',<1,1,'female div/dep/mar',none,?,car,'(40.0, 50.0]',?,own,2,skilled,1,yes,no,good,07/1994,no
Texas,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',?,4,'male single',none,3,'life insurance','(40.0, 50.0]',stores,?,1,skilled,1,yes,yes,good,07/1994,yes
Texas,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',business,?,'[0.0, 0.01)',1<=X<4,3,'female div/dep/mar',none,4,'life insurance','(20.0, 30.0]',none,rent,1,'unskilled resident',1,none,no,bad,07/1994,no
Texas,'(-7500.0, -5000.0]','(12.0, 24.0]','existing paid',other,'(1000.0, 2500.0]','[50.0, 100.0)',>=7,?,'female div/dep/mar',guarantor,4,'real estate','(50.0, 60.0]',none,own,1,?,1,?,yes,good,07/1994,yes
Texas,'(-2500.0, -1000.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[20.0, 50.0)',>=7,3,'male single',?,4,'real estate','(50.0, 60.0]',none,own,1,'unskilled resident',1,none,no,good,07/1994,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',business,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,?,'female div/dep/mar',guarantor,2,'real estate','(20.0, 30.0]',none,own,2,'high qualif/self emp/mgmt',1,?,yes,good,07/1994,yes
Texas,'(50.0, 100.0]','(12.0, 24.0]','critical/other existing credit',?,'(1000.0, 2500.0]','[0.0, 0.01)',?,4,'female div/dep/mar',none,1,?,'(20.0, 30.0]',none,own,2,skilled,1,none,yes,good,08/1994,yes
Texas,'(100.0, 500.0]','(24.0, 36.0]','existing paid',education,'(12500.0, 15000.0]','[100.0, 500.0)',?,?,'male single',none,4,'no known property','(40.0, 50.0]',none,'for free',1,skilled,2,yes,no,good,08/1994,no
Texas,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'male single',none,3,?,'(20.0, 30.0]',none,own,1,'high qualif/self emp/mgmt',2,yes,no,good,08/1994,no
Texas,'(-10000.0, -7500.0]','(0.0, 12.0]','no credits/all paid',repairs,'(1000.0, 2500.0]','[0.01, 20.0)',4<=X<7,4,'male single',none,3,'real estate','(20.0, 30.0]',none,own,2,skilled,1,none,no,good,08/1994,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',>=7,4,'male single',none,4,?,'(50.0, 60.0]',none,own,1,skilled,1,none,no,bad,08/1994,no
Texas,'(-1000.0, -500.0]','(0.0, 12.0]',?,'used car','(1000.0, 2500.0]','[0.01, 20.0)',>=7,4,'male single',none,3,'real estate',?,none,own,1,skilled,1,none,no,good,08/1994,no
Utah,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',>=7,4,'female div/dep/mar',none,3,'life insurance','(30.0, 40.0]',bank,own,1,'unskilled resident',2,none,yes,good,08/1994,yes
Utah,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',>=7,4,'male single',?,4,'no known property','(10.0, 20.0]',none,rent,2,skilled,1,none,yes,bad,08/1994,yes
Virginia,'(20.0, 50.0]','(0.0, 12.0]','existing paid','new car','(1000.0, 2500.0]','[5000.0, 7500.0)',>=7,4,'male single',none,4,'real estate','(50.0, 60.0]',none,own,1,skilled,1,yes,no,bad,08/1994,no
Virginia,'(100.0, 500.0]','(48.0, 60.0]','no credits/all paid',business,?,'[50.0, 100.0)',<1,3,'male single',none,4,'no known property','(50.0, 60.0]',none,?,1,skilled,1,yes,yes,good,08/1994,yes
Virginia,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',education,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'female div/dep/mar',none,2,car,'(60.0, 70.0]',none,own,1,skilled,1,none,no,good,08/1994,no
Virginia,'(0.01, 20.0]','(12.0, 24.0]','existing paid',business,'(2500.0, 5000.0]','[100.0, 500.0)',1<=X<4,4,'male single',none,4,car,'(30.0, 40.0]',none,own,1,skilled,1,none,yes,good,08/1994,yes
Virginia,'(0.01, 20.0]','(24.0, 36.0]','critical/other existing credit',radio/tv,?,'[20.0, 50.0)',>=7,4,'male single',none,4,'real estate','(30.0, 40.0]',none,own,1,skilled,?,none,no,good,08/1994,no
Virginia,'(50.0, 100.0]','(12.0, 24.0]','delayed previously','used car','(5000.0, 7500.0]','[0.0, 0.01)',4<=X<7,?,'male single',none,4,'life insurance',?,bank,rent,2,'high qualif/self emp/mgmt',2,yes,yes,good,08/1994,yes
Virginia,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male mar/wid',none,?,'real estate','(40.0, 50.0]',none,rent,1,'unskilled resident',1,none,yes,bad,08/1994,yes
Virginia,'(100.0, 500.0]','(24.0, 36.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'male single',none,4,car,'(20.0, 30.0]',none,rent,1,skilled,1,none,yes,bad,08/1994,yes
Virginia,'(-0.01, 0.01]','(0.0, 12.0]',?,radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',1<=X<4,3,'female div/dep/mar',none,?,?,'(20.0, 30.0]',none,?,1,skilled,1,none,yes,good,08/1994,yes
Virginia,'(50.0, 100.0]','(0.0, 12.0]','critical/other existing credit',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'male single',?,3,car,'(30.0, 40.0]',none,?,1,?,1,yes,yes,good,08/1994,yes
Virginia,'(-0.01, 0.01]','(0.0, 12.0]','existing paid','used car','(1000.0, 2500.0]','[0.0, 0.01)',<1,2,'male mar/wid',none,4,car,'(20.0, 30.0]',none,rent,1,skilled,1,yes,no,good,08/1994,no
Virginia,'(100.0, 500.0]',?,'critical/other existing credit',other,'(10000.0, 12500.0]','[20.0, 50.0)',1<=X<4,2,'male single','co applicant',3,car,'(30.0, 40.0]',?,own,2,'high qualif/self emp/mgmt',2,yes,yes,bad,08/1994,yes
Virginia,'(-0.01, 0.01]','(12.0, 24.0]','all paid','new car','(5000.0, 7500.0]','[0.0, 0.01)',>=7,2,'male single',none,4,'no known property','(30.0, 40.0]',bank,own,2,'high qualif/self emp/mgmt',?,yes,no,good,08/1994,no
Virginia,'(100.0, 500.0]','(0.0, 12.0]','existing paid','new car','(5000.0, 7500.0]','[50.0, 100.0)',4<=X<7,2,'male single',none,2,car,?,none,?,1,skilled,1,none,no,good,08/1994,no
Virginia,'(-1000.0, -500.0]',?,'existing paid',furniture/equipment,'(7500.0, 10000.0]','[0.0, 0.01)',<1,1,'female div/dep/mar',none,2,'life insurance','(20.0, 30.0]',none,own,1,skilled,1,yes,no,good,08/1994,no
Virginia,'(50.0, 100.0]',?,'existing paid',business,'(1000.0, 2500.0]','[500.0, 1000.0)',>=7,1,'male mar/wid',?,2,'real estate','(30.0, 40.0]',none,own,1,skilled,1,yes,yes,good,08/1994,yes
