,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
24,South Carolina,0.0,10.0,'critical/other existing credit',,2069.0,0.0,1<=X<4,2.0,'male mar/wid',none,1.0,car,26.0,none,own,2.0,skilled,1.0,none,yes,bad,05/1994,yes
25,South Carolina,0.0,6.0,'existing paid',furniture/equipment,,0.0,1<=X<4,1.0,'male single',none,,'real estate',36.0,bank,own,1.0,'unskilled resident',1.0,yes,no,good,06/1994,no
26,South Carolina,0.0,6.0,'no credits/all paid',radio/tv,426.0,0.0,,,'male mar/wid',none,4.0,car,39.0,none,own,1.0,'unskilled resident',1.0,none,no,good,06/1994,no
27,South Carolina,2577.11,12.0,'all paid',radio/tv,409.0,2599.63,1<=X<4,3.0,'female div/dep/mar',none,,'real estate',42.0,none,rent,2.0,,,none,no,good,06/1994,no
28,South Carolina,184.53,7.0,'existing paid',radio/tv,2415.0,67.24,1<=X<4,,'male single',guarantor,2.0,'real estate',34.0,none,own,,,1.0,none,no,good,06/1994,no
29,South Carolina,-3479.0,60.0,'delayed previously',business,6836.0,26.85,>=7,,'male single',none,4.0,'no known property',63.0,,own,2.0,skilled,1.0,yes,yes,good,06/1994,yes
30,South Carolina,0.0,18.0,'existing paid',business,1913.0,0.0,,3.0,'male mar/wid',,3.0,'real estate',36.0,bank,own,1.0,skilled,1.0,yes,no,good,06/1994,no
31,South Carolina,-5072.05,24.0,'existing paid',furniture/equipment,4020.0,12.54,,2.0,'male single',none,2.0,car,27.0,stores,own,1.0,skilled,1.0,none,yes,good,06/1994,yes
32,South Carolina,65.97,18.0,'existing paid','new car',5866.0,265.12,1<=X<4,2.0,'male single',none,2.0,car,,none,own,2.0,skilled,1.0,yes,no,bad,06/1994,no
33,South Dakota,0.0,12.0,'critical/other existing credit',business,1264.0,0.0,,4.0,'male single',none,4.0,,57.0,none,rent,1.0,'unskilled resident',1.0,,yes,bad,06/1994,yes
34,South Dakota,978.69,12.0,'existing paid',furniture/equipment,,41.34,<1,4.0,'female div/dep/mar',none,1.0,'life insurance',33.0,bank,,1.0,'high qualif/self emp/mgmt',1.0,,yes,good,06/1994,yes
35,Tennessee,163.0,45.0,'critical/other existing credit',radio/tv,4746.0,0.0,<1,4.0,'male single',none,2.0,'life insurance',25.0,none,own,2.0,,1.0,none,no,good,06/1994,no
36,Tennessee,0.0,48.0,'critical/other existing credit',education,6110.0,0.0,1<=X<4,1.0,'male single',none,3.0,'no known property',31.0,bank,'for free',1.0,skilled,1.0,,yes,good,06/1994,yes
37,Tennessee,6976.08,18.0,'existing paid',radio/tv,2100.0,4.69,,4.0,'male single','co applicant',2.0,'real estate',37.0,stores,own,1.0,skilled,1.0,none,yes,bad,06/1994,yes
38,Tennessee,5588.7,10.0,'existing paid','domestic appliance',1225.0,0.0,1<=X<4,2.0,'male single',none,,car,37.0,none,own,1.0,skilled,1.0,yes,yes,good,06/1994,yes
39,Tennessee,47.76,9.0,'existing paid',radio/tv,458.0,0.0,1<=X<4,4.0,'male single',none,3.0,'real estate',24.0,none,own,,skilled,1.0,none,no,good,06/1994,no
40,Tennessee,0.0,30.0,'existing paid',radio/tv,2333.0,0.0,,4.0,'male single',none,2.0,car,30.0,bank,own,,'high qualif/self emp/mgmt',,none,no,good,06/1994,no
41,Tennessee,150.32,,'existing paid',radio/tv,1158.0,0.0,1<=X<4,3.0,'male div/sep',none,1.0,car,26.0,none,own,,skilled,1.0,yes,no,bad,06/1994,no
42,Tennessee,158.94,18.0,'delayed previously',repairs,6204.0,24.41,1<=X<4,2.0,'male single',none,4.0,'real estate',44.0,none,own,1.0,'unskilled resident',2.0,,yes,good,06/1994,yes
43,Tennessee,-913.07,30.0,,'used car',6187.0,224.1,4<=X<7,1.0,'male mar/wid',none,,car,24.0,none,rent,2.0,skilled,1.0,none,yes,bad,06/1994,yes
44,Tennessee,-8599.14,48.0,'critical/other existing credit','used car',6143.0,14.18,>=7,4.0,'female div/dep/mar',none,4.0,'no known property',58.0,stores,'for free',2.0,'unskilled resident',1.0,none,yes,bad,06/1994,yes
45,Tennessee,0.0,11.0,,'new car',1393.0,0.0,<1,4.0,'female div/dep/mar',none,4.0,car,35.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,no,good,06/1994,no
46,Tennessee,0.0,36.0,,radio/tv,,0.0,>=7,4.0,'male single',none,4.0,car,39.0,none,own,1.0,skilled,1.0,none,yes,good,06/1994,yes
47,Tennessee,-1631.58,6.0,'existing paid','used car',,0.0,unemployed,1.0,'female div/dep/mar',none,2.0,,23.0,none,rent,1.0,'unemp/unskilled non res',1.0,yes,yes,bad,06/1994,yes
48,Texas,0.0,11.0,'critical/other existing credit','new car',7228.0,0.0,1<=X<4,1.0,'male single',none,4.0,'life insurance',39.0,none,,2.0,'unskilled resident',1.0,none,no,good,06/1994,no
49,Texas,0.0,12.0,,radio/tv,2073.0,0.0,,4.0,'female div/dep/mar','co applicant',2.0,'real estate',28.0,none,own,1.0,skilled,,none,no,good,06/1994,no
50,Texas,166.03,24.0,'delayed previously',furniture/equipment,2333.0,0.0,<1,4.0,'male single',none,2.0,,29.0,bank,own,1.0,'unskilled resident',1.0,none,yes,good,06/1994,yes
51,Texas,180.59,27.0,,'used car',5965.0,42.7,>=7,1.0,'male single',none,2.0,car,30.0,none,own,,'high qualif/self emp/mgmt',1.0,yes,no,bad,06/1994,no
52,Texas,0.0,12.0,'existing paid',radio/tv,1262.0,0.0,1<=X<4,3.0,'male single',none,2.0,car,25.0,none,own,1.0,skilled,1.0,none,no,good,06/1994,no
53,Texas,0.0,,'existing paid','used car',3378.0,0.0,1<=X<4,2.0,'male single',none,1.0,,31.0,none,own,1.0,skilled,,yes,no,good,06/1994,no
54,Texas,127.36,36.0,'delayed previously','new car',2225.0,41.6,>=7,4.0,'male single',none,4.0,'no known property',57.0,bank,'for free',2.0,skilled,1.0,,yes,good,06/1994,yes
55,Texas,0.0,6.0,'all paid','new car',783.0,0.0,,1.0,'male single',guarantor,2.0,'real estate',26.0,,own,1.0,'unskilled resident',2.0,none,yes,good,07/1994,yes
56,Texas,114.16,12.0,'existing paid',radio/tv,6468.0,0.0,unemployed,2.0,,none,1.0,'no known property',52.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,07/1994,no
57,Texas,0.0,36.0,'critical/other existing credit',radio/tv,9566.0,0.0,1<=X<4,2.0,'female div/dep/mar',,2.0,car,31.0,,own,2.0,,1.0,none,no,bad,07/1994,no
58,Texas,3235.45,18.0,,'new car',1961.0,65.36,,3.0,'female div/dep/mar',none,2.0,car,23.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,good,07/1994,yes
59,Texas,-9972.01,36.0,'critical/other existing credit',furniture/equipment,6229.0,35.8,<1,,'female div/dep/mar','co applicant',4.0,'no known property',23.0,none,rent,2.0,'unskilled resident',1.0,,yes,good,07/1994,yes
60,Texas,75.44,9.0,'existing paid',business,1391.0,65.13,1<=X<4,2.0,'male mar/wid',,1.0,'real estate',,bank,own,1.0,skilled,1.0,yes,yes,good,07/1994,yes
61,Texas,158.6,15.0,'critical/other existing credit',radio/tv,1537.0,0.0,>=7,4.0,'male single',guarantor,4.0,'real estate',50.0,none,own,2.0,skilled,1.0,yes,yes,bad,07/1994,yes
62,Texas,163.79,36.0,'no credits/all paid',business,1953.0,78.33,>=7,4.0,'male single',none,4.0,'no known property',61.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,07/1994,no
63,Texas,139.83,48.0,'no credits/all paid',business,14421.0,25.59,1<=X<4,2.0,'male single',none,2.0,car,25.0,none,own,1.0,skilled,,yes,no,good,07/1994,no
64,Texas,0.0,,'existing paid',radio/tv,3181.0,0.0,<1,,'female div/dep/mar',none,,'life insurance',26.0,none,own,1.0,skilled,,yes,no,good,07/1994,no
65,Texas,0.0,27.0,'existing paid',repairs,5190.0,0.0,>=7,4.0,'male single',none,4.0,'life insurance',48.0,none,own,4.0,skilled,2.0,yes,yes,bad,07/1994,yes
66,Texas,0.0,12.0,'existing paid',radio/tv,2171.0,0.0,,2.0,'female div/dep/mar',,2.0,car,29.0,bank,own,1.0,skilled,1.0,none,no,bad,07/1994,no
67,Texas,59.47,12.0,'existing paid','new car',1007.0,0.0,1<=X<4,4.0,'male mar/wid',,1.0,'real estate',,none,own,1.0,skilled,1.0,none,yes,bad,07/1994,yes
68,Texas,0.0,36.0,'existing paid',,1819.0,0.0,1<=X<4,4.0,'male single',none,4.0,'no known property',,stores,'for free',,,1.0,yes,yes,good,07/1994,yes
69,Texas,0.0,36.0,'existing paid',radio/tv,2394.0,0.0,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,25.0,none,own,1.0,skilled,1.0,none,yes,bad,07/1994,yes
70,Texas,0.0,,'existing paid','used car',8133.0,0.0,,,'female div/dep/mar',none,2.0,'life insurance',30.0,,own,1.0,skilled,1.0,,no,bad,07/1994,no
71,Texas,0.0,7.0,'critical/other existing credit',radio/tv,730.0,0.0,>=7,4.0,'male single',none,2.0,'life insurance',,none,rent,2.0,'unskilled resident',1.0,yes,no,good,07/1994,no
72,Texas,0.0,8.0,'critical/other existing credit',other,1164.0,0.0,>=7,3.0,'male single',none,,'no known property',51.0,bank,'for free',2.0,'high qualif/self emp/mgmt',2.0,yes,yes,good,07/1994,yes
73,Texas,0.0,42.0,,business,5954.0,0.0,4<=X<7,2.0,'female div/dep/mar',none,1.0,'real estate',41.0,bank,own,2.0,'unskilled resident',1.0,none,yes,bad,07/1994,yes
74,Texas,-220.84,36.0,'existing paid',education,1977.0,0.0,>=7,4.0,'male single',none,4.0,'no known property',40.0,none,,,'high qualif/self emp/mgmt',1.0,yes,yes,bad,07/1994,yes
75,Texas,-6131.59,12.0,'critical/other existing credit','used car',1526.0,53.54,>=7,4.0,'male single',none,4.0,'no known property',66.0,none,'for free',2.0,'high qualif/self emp/mgmt',1.0,none,no,good,07/1994,no
76,Texas,0.0,42.0,'existing paid',,,0.0,<1,,'male single',none,,car,34.0,none,,1.0,skilled,1.0,none,yes,bad,07/1994,yes
77,Texas,160.21,11.0,'delayed previously',radio/tv,4771.0,0.0,4<=X<7,2.0,'male single',none,4.0,'life insurance',51.0,none,own,1.0,skilled,1.0,none,yes,bad,07/1994,yes
78,Texas,0.0,54.0,'no credits/all paid',,9436.0,0.0,1<=X<4,2.0,'male single',none,2.0,'life insurance',39.0,none,own,1.0,'unskilled resident',,none,yes,good,07/1994,yes
79,Texas,161.2,30.0,'existing paid',furniture/equipment,3832.0,8.69,<1,,'male mar/wid',,1.0,'life insurance',22.0,none,own,1.0,,1.0,,yes,good,07/1994,yes
80,Texas,0.0,24.0,'existing paid',radio/tv,,0.0,<1,1.0,'female div/dep/mar',none,,car,44.0,,own,2.0,skilled,1.0,yes,no,good,07/1994,no
81,Texas,0.0,15.0,'existing paid',radio/tv,1213.0,0.0,,4.0,'male single',none,3.0,'life insurance',47.0,stores,,1.0,skilled,1.0,yes,yes,good,07/1994,yes
82,Texas,0.0,18.0,'existing paid',business,,0.0,1<=X<4,3.0,'female div/dep/mar',none,4.0,'life insurance',24.0,none,rent,1.0,'unskilled resident',1.0,none,no,bad,07/1994,no
83,Texas,-5878.49,24.0,'existing paid',other,1755.0,98.16,>=7,,'female div/dep/mar',guarantor,4.0,'real estate',58.0,none,own,1.0,,1.0,,yes,good,07/1994,yes
84,Texas,-1789.61,10.0,'existing paid',radio/tv,2315.0,32.77,>=7,3.0,'male single',,4.0,'real estate',52.0,none,own,1.0,'unskilled resident',1.0,none,no,good,07/1994,no
85,Texas,0.0,12.0,'critical/other existing credit',business,1412.0,0.0,1<=X<4,,'female div/dep/mar',guarantor,2.0,'real estate',29.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,,yes,good,07/1994,yes
86,Texas,85.74,18.0,'critical/other existing credit',,1295.0,0.0,,4.0,'female div/dep/mar',none,1.0,,27.0,none,own,2.0,skilled,1.0,none,yes,good,08/1994,yes
87,Texas,138.23,36.0,'existing paid',education,12612.0,438.24,,,'male single',none,4.0,'no known property',47.0,none,'for free',1.0,skilled,2.0,yes,no,good,08/1994,no
88,Texas,0.0,18.0,'existing paid','new car',2249.0,0.0,4<=X<7,4.0,'male single',none,3.0,,30.0,none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,no,good,08/1994,no
89,Texas,-9244.18,12.0,'no credits/all paid',repairs,1108.0,5.74,4<=X<7,4.0,'male single',none,3.0,'real estate',28.0,none,own,2.0,skilled,1.0,none,no,good,08/1994,no
90,Texas,0.0,12.0,'critical/other existing credit',radio/tv,618.0,0.0,>=7,4.0,'male single',none,4.0,,56.0,none,own,1.0,skilled,1.0,none,no,bad,08/1994,no
91,Texas,-677.41,12.0,,'used car',1409.0,1.66,>=7,4.0,'male single',none,3.0,'real estate',,none,own,1.0,skilled,1.0,none,no,good,08/1994,no
92,Utah,0.0,12.0,'critical/other existing credit',radio/tv,797.0,0.0,>=7,4.0,'female div/dep/mar',none,3.0,'life insurance',33.0,bank,own,1.0,'unskilled resident',2.0,none,yes,good,08/1994,yes
93,Utah,0.0,24.0,'critical/other existing credit',furniture/equipment,3617.0,0.0,>=7,4.0,'male single',,4.0,'no known property',20.0,none,rent,2.0,skilled,1.0,none,yes,bad,08/1994,yes
94,Virginia,45.54,12.0,'existing paid','new car',1318.0,5987.51,>=7,4.0,'male single',none,4.0,'real estate',54.0,none,own,1.0,skilled,1.0,yes,no,bad,08/1994,no
95,Virginia,163.33,54.0,'no credits/all paid',business,,89.6,<1,3.0,'male single',none,4.0,'no known property',58.0,none,,1.0,skilled,1.0,yes,yes,good,08/1994,yes
96,Virginia,0.0,12.0,'critical/other existing credit',education,2012.0,0.0,4<=X<7,4.0,'female div/dep/mar',none,2.0,car,61.0,none,own,1.0,skilled,1.0,none,no,good,08/1994,no
97,Virginia,4.36,18.0,'existing paid',business,2622.0,167.17,1<=X<4,4.0,'male single',none,4.0,car,34.0,none,own,1.0,skilled,1.0,none,yes,good,08/1994,yes
98,Virginia,0.83,36.0,'critical/other existing credit',radio/tv,,36.75,>=7,4.0,'male single',none,4.0,'real estate',36.0,none,own,1.0,skilled,,none,no,good,08/1994,no
99,Virginia,62.41,20.0,'delayed previously','used car',7057.0,0.0,4<=X<7,,'male single',none,4.0,'life insurance',,bank,rent,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,good,08/1994,yes
100,Virginia,0.0,24.0,'existing paid','new car',1469.0,0.0,>=7,4.0,'male mar/wid',none,,'real estate',41.0,none,rent,1.0,'unskilled resident',1.0,none,yes,bad,08/1994,yes
101,Virginia,194.24,36.0,'existing paid',radio/tv,2323.0,0.0,4<=X<7,4.0,'male single',none,4.0,car,24.0,none,rent,1.0,skilled,1.0,none,yes,bad,08/1994,yes
102,Virginia,0.0,6.0,,radio/tv,932.0,0.0,1<=X<4,3.0,'female div/dep/mar',none,,,24.0,none,,1.0,skilled,1.0,none,yes,good,08/1994,yes
103,Virginia,72.61,9.0,'critical/other existing credit',furniture/equipment,1919.0,0.0,4<=X<7,4.0,'male single',,3.0,car,35.0,none,,1.0,,1.0,yes,yes,good,08/1994,yes
104,Virginia,0.0,12.0,'existing paid','used car',2445.0,0.0,<1,2.0,'male mar/wid',none,4.0,car,26.0,none,rent,1.0,skilled,1.0,yes,no,good,08/1994,no
105,Virginia,150.24,,'critical/other existing credit',other,11938.0,20.15,1<=X<4,2.0,'male single','co applicant',3.0,car,39.0,,own,2.0,'high qualif/self emp/mgmt',2.0,yes,yes,bad,08/1994,yes
106,Virginia,0.0,18.0,'all paid','new car',6458.0,0.0,>=7,2.0,'male single',none,4.0,'no known property',39.0,bank,own,2.0,'high qualif/self emp/mgmt',,yes,no,good,08/1994,no
107,Virginia,129.98,12.0,'existing paid','new car',6078.0,50.34,4<=X<7,2.0,'male single',none,2.0,car,,none,,1.0,skilled,1.0,none,no,good,08/1994,no
108,Virginia,-757.72,,'existing paid',furniture/equipment,7721.0,0.0,<1,1.0,'female div/dep/mar',none,2.0,'life insurance',30.0,none,own,1.0,skilled,1.0,yes,no,good,08/1994,no
109,Virginia,55.89,,'existing paid',business,1410.0,549.75,>=7,1.0,'male mar/wid',,2.0,'real estate',35.0,none,own,1.0,skilled,1.0,yes,yes,good,08/1994,yes
110,Virginia,80.35,6.0,'delayed previously',,1449.0,265.76,>=7,1.0,,none,2.0,car,31.0,bank,own,2.0,skilled,,none,no,good,08/1994,no
111,Virginia,0.0,,'existing paid',education,392.0,0.0,<1,,'female div/dep/mar',none,,'life insurance',23.0,none,,1.0,skilled,1.0,yes,yes,good,08/1994,yes
112,Virginia,80.71,18.0,'existing paid','new car',6260.0,68.22,4<=X<7,,'male single',none,3.0,,28.0,none,rent,1.0,'unskilled resident',1.0,none,no,bad,08/1994,no
113,Virginia,0.0,36.0,'critical/other existing credit','new car',7855.0,0.0,1<=X<4,4.0,'female div/dep/mar',none,2.0,'real estate',25.0,stores,own,,skilled,1.0,yes,yes,good,08/1994,yes
114,Virginia,0.0,12.0,'existing paid',radio/tv,,0.0,>=7,3.0,'male mar/wid',none,1.0,'real estate',35.0,none,own,1.0,skilled,1.0,none,no,bad,08/1994,no
115,Virginia,0.0,48.0,,radio/tv,,0.0,>=7,4.0,'male single',none,1.0,'real estate',47.0,none,own,1.0,skilled,1.0,yes,no,good,08/1994,no
116,Vermont,-7890.14,,'existing paid',radio/tv,7174.0,0.0,4<=X<7,4.0,'female div/dep/mar',none,3.0,car,30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,09/1994,no
117,Vermont,-308.12,10.0,'critical/other existing credit',furniture/equipment,2132.0,0.0,,2.0,'female div/dep/mar','co applicant',3.0,'real estate',,none,rent,2.0,skilled,1.0,,no,good,09/1994,no
118,Washington,-6207.62,33.0,'critical/other existing credit',furniture/equipment,4281.0,777.08,,1.0,'female div/dep/mar',none,4.0,car,23.0,none,own,2.0,skilled,1.0,,no,good,09/1994,no
119,Washington,180.83,12.0,,'new car',2366.0,804.96,4<=X<7,3.0,'male div/sep',none,3.0,car,36.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good,09/1994,yes
120,Washington,-4317.01,21.0,'existing paid',radio/tv,1835.0,6.23,1<=X<4,3.0,'female div/dep/mar',none,2.0,'real estate',25.0,none,own,2.0,skilled,1.0,yes,yes,good,09/1994,yes
121,Washington,0.0,24.0,'critical/other existing credit','used car',,0.0,,4.0,,none,,car,41.0,none,rent,2.0,'high qualif/self emp/mgmt',,yes,no,good,09/1994,no
122,Washington,0.0,,,furniture/equipment,1768.0,0.0,1<=X<4,,'male single',none,2.0,'real estate',24.0,none,rent,,'unskilled resident',,none,yes,bad,09/1994,yes
123,Washington,4115.41,10.0,'critical/other existing credit','new car',781.0,68.49,,,'male single',,4.0,'no known property',63.0,none,'for free',2.0,skilled,1.0,yes,yes,good,09/1994,yes
124,Washington,69.75,18.0,'existing paid',furniture/equipment,1924.0,0.0,,4.0,'female div/dep/mar',none,3.0,'real estate',,,rent,1.0,,1.0,none,no,good,09/1994,no
125,Washington,-8633.29,12.0,'critical/other existing credit','new car',2121.0,28.28,1<=X<4,4.0,'male single',,2.0,'life insurance',30.0,none,own,2.0,skilled,1.0,none,yes,bad,09/1994,yes
126,Washington,-7111.18,12.0,,radio/tv,,1.11,1<=X<4,4.0,'male mar/wid',none,2.0,'real estate',40.0,none,own,1.0,'unskilled resident',1.0,none,yes,good,09/1994,yes
127,Washington,150.56,12.0,'existing paid',repairs,,33.47,1<=X<4,,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,no,bad,09/1994,no
128,Washington,163.65,12.0,'critical/other existing credit','used car',1860.0,21.86,unemployed,4.0,'male single',,2.0,car,34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad,09/1994,yes
129,Washington,-9688.11,12.0,'critical/other existing credit','new car',,0.0,1<=X<4,3.0,'female div/dep/mar','co applicant',2.0,'real estate',29.0,none,own,2.0,,1.0,none,yes,good,09/1994,yes
130,Washington,161.19,48.0,'existing paid','new car',8487.0,0.0,4<=X<7,1.0,'female div/dep/mar',none,2.0,car,24.0,none,own,1.0,skilled,1.0,none,no,bad,09/1994,no
131,Washington,-4083.0,36.0,'delayed previously',education,6887.0,11.36,1<=X<4,4.0,'male single',none,3.0,'life insurance',29.0,stores,own,1.0,skilled,1.0,yes,yes,bad,09/1994,yes
132,Washington,0.0,15.0,'existing paid',furniture/equipment,,0.0,<1,2.0,'male single',none,3.0,'life insurance',27.0,bank,own,2.0,'unskilled resident',1.0,none,no,good,09/1994,no
133,Washington,0.0,,'existing paid',furniture/equipment,1984.0,0.0,1<=X<4,4.0,'male single',none,4.0,'no known property',47.0,bank,'for free',2.0,skilled,1.0,none,yes,bad,09/1994,yes
134,Washington,0.0,,'existing paid',radio/tv,,0.0,4<=X<7,2.0,'female div/dep/mar',none,,'real estate',21.0,none,own,1.0,skilled,1.0,,yes,bad,09/1994,yes
135,Wisconsin,0.0,12.0,'critical/other existing credit',,1240.0,0.0,>=7,4.0,'female div/dep/mar',none,2.0,,38.0,none,own,2.0,skilled,1.0,yes,yes,bad,09/1994,yes
136,Wisconsin,0.0,27.0,'delayed previously','used car',8613.0,0.0,1<=X<4,2.0,'male single',none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,no,bad,09/1994,no
137,Wisconsin,0.0,,,radio/tv,766.0,0.0,1<=X<4,4.0,'male single',,3.0,'real estate',,none,own,1.0,'unskilled resident',1.0,none,no,good,09/1994,no
138,Wisconsin,51.64,15.0,'critical/other existing credit',radio/tv,2728.0,0.0,4<=X<7,4.0,'male single',guarantor,2.0,'real estate',35.0,bank,own,3.0,skilled,1.0,yes,yes,good,09/1994,yes
139,Wisconsin,0.0,12.0,'existing paid',radio/tv,1881.0,0.0,,2.0,'female div/dep/mar',none,2.0,car,44.0,none,rent,1.0,'unskilled resident',1.0,yes,no,bad,09/1994,no
140,Wisconsin,8525.7,6.0,'existing paid','new car',709.0,7265.64,<1,2.0,'male mar/wid',none,2.0,'real estate',27.0,none,own,1.0,'unemp/unskilled non res',1.0,none,yes,good,09/1994,yes
141,West Virginia,3.49,36.0,'existing paid',radio/tv,,57.17,<1,4.0,'female div/dep/mar',none,1.0,'no known property',,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,bad,09/1994,no
142,West Virginia,-4570.85,,'existing paid',,3416.0,15.64,1<=X<4,,'male single',,2.0,car,27.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,,yes,bad,09/1994,yes
143,West Virginia,-6400.81,,'existing paid',furniture/equipment,2462.0,74.69,1<=X<4,2.0,'male single',none,2.0,,,none,own,1.0,,1.0,none,no,good,09/1994,no
